Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time,Dist,Track Cond,High,Low,24-Hour Precipitation,1pm-7pm Precipitation,Weather
2017,Always Dreaming,Bodemeister,Above Perfection,Lookin At Lee,Battle of Midway,02:03.6,10 F,Sloppy,62,42,"0.12""","0.02""",Showers
2016,Nyquist,Uncle Mo,Seeking Gabrielle,Exaggerator,Gun Runner,02:01.3,10 F,Fast,85,59,"0.28""","0.04""",Mostly Cloudy
2015,American Pharoah,Pioneerof The Nile,Littleprincessemma,Firing Line,Dortmund,02:03.0,10 F,Fast,79,52,0,0,Partly Cloudy
2014,California Chrome,Lucky Pulpit,Love The Chase,Commanding Curve,Danza,02:03.7,10 F,Fast,73,45,0,0,Mostly Sunny
2013,Orb,Malibu Moon,Lady Liberty,Golden Soul,Revolutionary,02:02.9,10 F,Sloppy,64,53,"0.87""","0.44""",Rain
2012,I'll Have Another,Flower Alley,Archs Gal Edith,Bodemeister,Dullahan,02:01.8,10 F,Fast,83,65,"1.46""",0,Partly Sunny
2011,Animal Kingdom,Leroidesanimaux,Dalicia,Nehro,Mucho Macho Man,02:02.0,10 F,Fast,72,51,Trace,Trace,Mostly Cloudy
2010,Super Saver,Marias Mon,Supercharger,Ice Box,Paddy O'prado,02:04.5,10 F,Sloppy,75,63,"1.32""","0.13""",Thunderstorms
2009,Mine That Bird,Birdstone,Mining My Own,Pioneerof The Nile,Musket Man,02:02.7,10 F,Sloppy,62,51,"0.07""",0,Cloudy
2008,Big Brown,Boundary,Mien,Eight Belles,Denis Of Cork,02:01.8,10 F,Fast,75,50,"0.69""",0,Partly Cloudy
2007,Street Sense,Street Cry,Bedazzle,Hard Spun,Curlin,02:02.2,10 F,Fast,78,62,Trace,Trace,Partly Sunny
2006,Barbaro,Dynaformer,La Ville Rouge,Bluegrass Cat,Steppenwolfer,02:01.4,10 F,Fast,68,52,0,0,Partly Sunny
2005,Giacomo,Holy Bull,Set Them Free,Closing Argument,Afleet Alex,02:02.8,10 F,Fast,80,48,0,0,Mostly Sunny
2004,Smarty Jones,Elusive Quality,Ill Get Along,Lion Heart,Imperialism,02:04.1,10 F,Sloppy,78,55,"0.65""","0.29""",Thunderstorms
2003,Funny Cide,Distorted Humor,Belles Good Cide,Empire Maker,Peace Rules,02:01.2,10 F,Fast,65,52,0,0,Partly Sunny
2002,War Emblem,Our Emblem,Sweetest Lady,Proud Citizen,Perfect Drift,02:01.1,10 F,Fast,71,49,0,0,Mostly Sunny
2001,Monarchos,Marias Mon,Regal Band,Invisible Ink,Congaree,02:00.0,10 F,Fast,86,58,0,0,Mostly Sunny
2000,Fusaichi Pegasus,Mr Prospector,Angel Fever,Aptitude,Impeachment,02:01.0,10 F,Fast,86,63,Trace,Trace,Mostly Sunny
1999,Charismatic,Summer Squall,Bali Babe,Menifee,Cat Thief,02:03.2,10 F,Fast,75,46,0,0,Sunny
1998,Real Quiet,Quiet American,Really Blue,Victory Gallop,Indian Charlie,02:02.2,10 F,Fast,75,49,"0.03""",0,Thunderstorms
1997,Silver Charm,Silver Buck,Bonnies Poker,Captain Bodgit,Free House,02:02.4,10 F,Fast,60,47,"0.22""","0.01""",Showers
1996,Grindstone,Unbridled,Buzz My Bell,Cavonnier,Prince Of Thieves,02:01.0,10 F,Fast,81,62,"0.55""","0.55""",Thunderstorms
1995,Thunder Gulch,Gulch,Line Of Thunder,Tejano Run,Timber Country,02:01.2,10 F,Fast,74,46,0,0,Partly Cloudy
1994,Go For Gin,Cormorant,Never Knock,Strodes Creek,Blumin Affair,02:03.6,10 F,Sloppy,70,50,"0.63""","0.27""",Thunderstorms
1993,Sea Hero,Polish Navy,Glowing Tribute,Prairie Bayou,Wild Gale,02:02.4,10 F,Fast,76,57,"0.02""","0.02""",Cloudy
1992,Lil E Tee,At The Threshold,Eileens Moment,Casual Lies,Dance Floor,02:03.0,10 F,Fast,81,65,"0.83""","0.35""",Thunderstorms
1991,Strike The Gold,Alydar,Majestic Gold,Best Pal,Mane Minister,02:03.0,10 F,Fast,80,64,"0.06""","0.06""",Thunderstorms
1990,Unbridled,Fappiano,Gana Facil,Summer Squall,Pleasant Tap,02:02.0,10 F,Good,73,48,Trace,Trace,Mostly Cloudy
1989,Sunday Silence,Halo,Wishing Well,Easy Goer,Awe Inspiring,02:05.0,10 F,Muddy,51,39,"0.09""","0.01""",Sleet
1988,Winning Colors,Caro,All Rainbows,Forty Niner,Risen Star,02:02.2,10 F,Fast,81,50,0,0,Clear
1987,Alysheba,Alydar,Bel Sheba,Bet Twice,Avies Copy,02:03.4,10 F,Fast,87,61,0,0,Mostly Cloudy
1986,Ferdinand,Nijinsky,Banja Luka,Bold Arrangement,Broad Brush,02:02.8,10 F,Fast,63,40,0,0,Partly Cloudy
1985,Spend A Buck,Buckaroo,Belle De Jour,Stephans Odyssey,Chiefs Crown,02:00.2,10 F,Fast,74,46,0,0,partly Cloudy
1984,Swale,Seattle Slew,Tuerta,Coax Me Chad,At The Threshold,02:02.4,10 F,Fast,71,46,"0.09""",Trace,Cloudy
1983,Sunnys Halo,Halo,Mostly Sunny,Desert Wine,Caveat,02:02.2,10 F,Fast,81,58,"0.54""","0.10""",Thunderstorms
1982,Gato Del Sol,Cougar,Peacefully,Laser Light,Reinvested,02:02.4,10 F,Fast,75,55,Trace,0,Partly Cloudy
1981,Pleasant Colony,His Majesty,Sun Colony,Woodchopper,Partez,02:02.0,10 F,Fast,68,45,0,0,Clear
1980,Genuine Risk,Exclusive Native,Virtuous,Rumbo,Jaklin Klugman,02:02.0,10 F,Fast,75,54,0,0,Clear
1979,Spectacular Bid,Bold Bidder,Spectacular,General Assembly,Golden Act,02:02.4,10 F,Fast,65,39,0,0,Clear
1978,Affirmed,Exclusive Native,Wont Tell You,Alydar,Believe It,02:01.2,10 F,Fast,67,43,0,0,Clear
1977,Seattle Slew,Bold Reasoning,My Charmer,Run Dusty Run,Sanhedrin,02:02.2,10 F,Fast,77,61,"0.03""",0,Partly Cloudy
1976,Bold Forbes,Irish Castle,Comely Nell,Honest Pleasure,Elocutionist,02:01.6,10 F,Fast,73,52,"0.15""","0.15""",Cloudy
1975,Foolish Pleasure,What A Pleasure,Fool-Me-Not,Avatar,Diabolo,02:02.0,10 F,Fast,72,56,"0.23""","0.23""",Cloudy
1974,Cannonade,Bold Bidder,Queen Sucree,Hudson County,Agitate,02:04.0,10 F,Fast,66,44,0,0,Partly Cloudy
1973,Secretariat,Bold Ruler,Somethingroyal,Sham,Our Native,01:59.4,10 F,Fast,67,39,0,0,Partly Cloudy
1972,Riva Ridge,First Landing,Iberia,No Le Hace,Hold Your Peace,02:01.8,10 F,Fast,81,51,0,0,Partly Cloudy
1971,Canonero,Pretendre,Dixieland,Jim French,Bold Reason,02:03.2,10 F,Fast,73,37,"0.01""",0,Partly Cloudy
1970,Dust Commander,Bold Commander,Dust Storm,My Dad George,High Echelon,02:03.4,10 F,Good,64,48,"0.28""",0,Partly Cloudy
1969,Majestic Prince,Raise A Native,Gay Hostess,Arts And Letters,Dike,02:01.8,10 F,Fast,81,53,0,0,Partly Cloudy
1968,Forward Pass,On-And-On,Princess Turia,Francies Hat,T V Commercial,02:02.2,10 F,Fast,72,56,0,0,Partly Cloudy
1967,Proud Clarion,Hail To Reason,Breath Omorn,Barbs Delight,Damascus,02:00.6,10 F,Fast,63,57,"0.78""","0.31""",Thunderstorms
1966,Kauai King,Native Dancer,Sweep In,Advocator,Blue Skyer,02:02.0,10 F,Fast,80,46,0,0,Partly Cloudy
